sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
n980	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1	FFFE0	VVV0	2.01700e-06	100	#33ffff	
n981	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1	FFFE0	VVV0	3.05800e-07	62	#33ffff	
n982	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.1	FFFE00	VVV00	4.89250e-06	100	#33ffff	
2024.EXT.0725.1342.540_Bme_Norway	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.1.1	FFFE00	VVV00	4.58670e-06		#33ffff	
2024.EXT.0725.2304.300_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.1.2	FFFE04	VVV08	2.14050e-06		#33ffff	
n985	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2	FFFE08	VVV0G	4.58670e-06	100	#33ffff	
n986	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2.1	FFFE08	VVV0G	3.05780e-06	100	#33ffff	
2024.EXT.0725.2104.310_Bme_Iraq	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2.1.1	FFFE08	VVV0G	4.89250e-06		#33ffff	
2024.EXT.0725.2305.010_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2.1.2	FFFE0A	VVV0K	3.97520e-06		#33ffff	
2024.EXT.0725.2200.160_Bme_Somalia	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.1.2.2	FFFE0C	VVV0O	3.97520e-06		#33ffff	
2024.EXT.0725.2307.490_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1.2	FFFE1	VVV1	8.25620e-06		#33ffff	
2024.EXT.0725.2307.170_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2	FFFE2	VVV2	1.29791e-05		#33ffff	
2024.EXT.0725.2301.490_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFE4	VVV4	1.67404e-05		#33ffff	
2024.EXT.0725.2052.150_Bme_Iraq	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFE8	VVV8	1.59331e-05		#33ffff	
n994	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFF	VVVG	1.52890e-06	100	#33ffff	
n995	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFF0	VVVG	1.22310e-06	98	#33ffff	
n996	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFF0	VVVG	1.07025e-05	100	#33ffff	
2024.EXT.0725.1325.470_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFF0	VVVG	8.56190e-06		#33ffff	
n998	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFF2	VVVI	2.75200e-06	100	#33ffff	
n999	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.1	FFFF2	VVVI	3.05800e-07	71	#33ffff	
2024.EXT.0725.1343.000_Bme_Norway	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.1.1	FFFF20	VVVI0	3.97520e-06		#33ffff	
2024.EXT.0725.2056.060_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.1.2	FFFF28	VVVIG	4.28090e-06		#33ffff	
2024.EXT.0725.1858.050_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.2	FFFF3	VVVJ	4.58670e-06		#33ffff	
n1003	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFF4	VVVK	6.11600e-07	95	#33ffff	
n1004	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1	FFFF4	VVVK	6.42140e-06	100	#33ffff	
n1005	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.1	FFFF4	VVVK	1.13140e-05	100	#33ffff	
2024.EXT.0725.1328.120_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.1.1	FFFF40	VVVK0	4.89250e-06		#33ffff	
2024.EXT.0725.1856.530_Bme_Greece	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.1.2	FFFF48	VVVKG	3.97520e-06		#33ffff	
2024.EXT.0725.2105.200_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.2	FFFF5	VVVL	1.37604e-05		#33ffff	
n1009	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2	FFFF6	VVVM	1.37604e-05	100	#33ffff	
2024.EXT.0725.2055.060_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1	FFFF6	VVVM	4.89250e-06		#33ffff	
2024.EXT.0725.2302.510_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2	FFFF7	VVVN	3.66940e-06		#33ffff	
